HGNC_ID	symbol	Entrez	chr	PTV_mut_rate	miss_mut_rate	PTV_enrichment_p	enrich_mis_p_full	denovoWEST_p_full	DD_PTV_obs	DD_PTV_exp	DD_miss_obs	DD_miss_exp	SZ_PTV_obs	SZ_PTV_exp	SZ_miss_obs	SZ_miss_exp
5	A1BG	1	19	1.49e-06	1.74e-05	0.11764432	0.276215952	0.371526771	0	0.09255284	1	1.0808184	0	0.009903057056	0	0.1154140608
7	A2M	2	12	3.9e-06	3.55e-05	0.071082917	1	0.070358068	1	0.2422524	3	2.205118	0	0.026575593324	0	0.241782051
16	SERPINA3	12	14	1.11e-06	1.18e-05	0.086042127	0.30418518	1	0	0.06894876	1	0.7329688	0	0.00761710194	0	0.0809745972
17	AADAC	13	3	1.76e-06	1.02e-05	0.004278761	1	0.083711443	1	0.10932416	0	0.6335832	0	0.011598018264	0	0.0673688988
18	AAMP	14	2	4.27e-06	1.31e-05	0.110429362	0.44389586	1	0	0.26523532	1	0.8137196	0	0.029101311948	1	0.0893012852
19	AANAT	15	17	6.84e-07	7.73e-06	0.054947944	1	1	0	0.042487344	1	0.48015668	0	0.004480126315	0	0.0506380705
20	AARS	16	16	4.82e-06	3e-05	0.263547233	0.37558282	0.496803548	0	0.29939912	2	1.86348	0	0.03321685365	1	0.20652966
21	AATK	9625	17	2.88e-06	3.86e-05	0.273727576	1	0.98919437	0	0.17889408	4	2.3976776	0	0.018051944862	0	0.2416944404
23	ABAT	18	16	1.58e-06	1.72e-05	0.140907392	0.011473929	0.040547465	0	0.09814328	4	1.0683952	0	0.010896816	0	0.1184736
29	ABCA1	19	9	1.31e-05	6.37e-05	0.47720328	0.160596708	0.226306702	0	0.8137196	6	3.9567892	0	0.0899346792	1	0.437984638
30	ABCA10	10349	17	7.34e-06	3.59e-05	0.358498544	1	0.966459889	0	0.45593144	2	2.2299644	0	0.0495230534	0	0.242217659
32	ABCA2	20	9	1.39e-05	8.76e-05	0.13698315	0.143508335	0.105827501	1	0.8634124	10	5.4413616	1	0.09290992396	1	0.5842720272
33	ABCA3	21	16	3.46e-06	6.26e-05	0.3545956	0.237821811	0.415781286	0	0.21492136	7	3.8884616	0	0.0237488113568	0	0.4299608384
34	ABCA4	24	1	1.23e-05	6.77e-05	0.14208239	1	0.995586522	1	0.7640268	3	4.2052532	0	0.0848534571	1	0.465902599
35	ABCA5	23461	17	7.64e-06	3.6e-05	0.379395058	0.135213397	0.338929011	0	0.47456624	4	2.236176	0	0.0514833219	1	0.242274456
36	ABCA6	23460	17	7e-06	3.66e-05	0.00979471	0.120424893	0.016898177	2	0.434812	5	2.2734456	0	0.04710746638	0	0.2459533908
37	ABCA7	10347	19	4.63e-06	7.91e-05	0.445520768	0.238632566	0.170452284	0	0.28759708	8	4.9133756	0	0.0304198791168	0	0.5200147904
38	ABCA8	10351	17	7.18e-06	3.95e-05	0.073049442	0.004272572	0.009918401	1	0.44599288	8	2.453582	0	0.04859317736	0	0.267330154
39	ABCA9	10350	17	7.85e-06	3.95e-05	0.38292348	0.299935381	0.607413684	0	0.4876106	4	2.453582	0	0.05330986752	0	0.268589256
40	ABCB1	5243	7	6.52e-06	3.45e-05	0.306261179	1	0.951187127	0	0.40499632	2	2.143002	0	0.04490976	0	0.237636
41	ABCB10	23456	1	5.37e-06	1.85e-05	0.171426088	1	1	0	0.33356292	0	1.149146	0	0.03552699636	0	0.122392818
42	ABCB11	8647	2	9.28e-06	3.31e-05	0.307155564	0.024614112	0.10993993	0	0.57643648	5	2.0560396	0	0.06313560768	0	0.2251927386
43	TAP1	6890	6	2.35e-06	2.54e-05	0.202002605	1	0.165792605	0	0.1459726	2	1.5777464	0	0.016067596914	0	0.1737407244
44	TAP2	6891	6	2.24e-06	2.07e-05	0.180193269	1	1	0	0.13913984	0	1.2858012	0	0.01522327884	0	0.140805126
45	ABCB4	5244	7	6.62e-06	3.48e-05	0.312108215	NA	NA	0	0.41120792	0	2.1616368	1	0.04552968	0	0.2397024
